Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
SBGL,Sibanye Gold Limited,7.56,$1.76B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/sbgl,
SIG,Signet Jewelers Limited,67.83,$4.63B,n/a,Consumer Services,Consumer Specialties,http://www.nasdaq.com/symbol/sig,
SBY,Silver Bay Realty Trust Corp.,21.47,$758.38M,2012,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/sby,
SSNI,"Silver Spring Networks, Inc.",10.8,$560.46M,2013,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/ssni,
SLW,Silver Wheaton Corp,18.99,$8.38B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/slw,
SPG,"Simon Property Group, Inc.",167.23,$53.49B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/spg,
SPG^J,"Simon Property Group, Inc.",66.1,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/spg^j,
SSD,"Simpson Manufacturing Company, Inc.",42.16,$2.01B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/ssd,
SHI,"SINOPEC Shangai Petrochemical Company, Ltd.",56.31,$6.08B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shi,
SITE,"SiteOne Landscape Supply, Inc.",40.95,$1.62B,2016,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/site,
SIX,Six Flags Entertainment Corporation New,58.94,$5.38B,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/six,
SJW,SJW Group,46.83,$959.95M,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/sjw,
SKM,"SK Telecom Co., Ltd.",23.96,$15.24B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/skm,
SKX,"Skechers U.S.A., Inc.",26.16,$4.14B,1999,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/skx,
SLG,SL Green Realty Corporation,105.71,$10.63B,1997,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/slg,
SLG^I,SL Green Realty Corporation,25.65,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/slg^i,
SM,SM Energy Company,21.37,$2.38B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/sm,
SFS,Smart,10.99,$801.51M,2014,Consumer Services,Food Chains,http://www.nasdaq.com/symbol/sfs,
SNN,"Smith & Nephew SNATS, Inc.",30.42,$13.75B,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/snn,
